"run","tick","human_count","zombie_count"
50,1.0,199,11
50,2.0,199,11
50,3.0,199,11
50,4.0,198,12
50,5.0,198,12
50,6.0,198,12
50,7.0,198,12
50,8.0,197,13
50,9.0,196,14
50,10.0,196,14
50,11.0,196,14
50,12.0,196,14
50,13.0,194,16
50,14.0,194,16
50,15.0,193,17
50,16.0,193,17
50,17.0,193,17
50,18.0,193,17
50,19.0,193,17
50,20.0,193,17
50,21.0,193,17
50,22.0,193,17
50,23.0,192,18
50,24.0,190,20
50,25.0,190,20
50,26.0,190,20
50,27.0,189,21
50,28.0,189,21
50,29.0,189,21
50,30.0,189,21
50,31.0,188,22
50,32.0,188,22
50,33.0,186,24
50,34.0,185,25
50,35.0,185,25
50,36.0,184,26
50,37.0,184,26
50,38.0,181,29
50,39.0,181,29
50,40.0,181,29
50,41.0,180,30
50,42.0,177,33
50,43.0,176,34
50,44.0,175,35
50,45.0,173,37
50,46.0,172,38
50,47.0,171,39
50,48.0,170,40
50,49.0,168,42
50,50.0,167,43
50,51.0,165,45
50,52.0,165,45
50,53.0,163,47
50,54.0,161,49
50,55.0,160,50
50,56.0,159,51
50,57.0,157,53
50,58.0,157,53
50,59.0,156,54
50,60.0,156,54
50,61.0,154,56
50,62.0,151,59
50,63.0,151,59
50,64.0,145,65
50,65.0,142,68
50,66.0,138,72
50,67.0,137,73
50,68.0,135,75
50,69.0,130,80
50,70.0,127,83
50,71.0,124,86
50,72.0,123,87
50,73.0,120,90
50,74.0,117,93
50,75.0,116,94
50,76.0,114,96
50,77.0,112,98
50,78.0,109,101
50,79.0,106,104
50,80.0,102,108
50,81.0,100,110
50,82.0,98,112
50,83.0,95,115
50,84.0,92,118
50,85.0,90,120
50,86.0,87,123
50,87.0,84,126
50,88.0,81,129
50,89.0,78,132
50,90.0,77,133
50,91.0,72,138
50,92.0,70,140
50,93.0,69,141
50,94.0,65,145
50,95.0,62,148
50,96.0,59,151
50,97.0,56,154
50,98.0,52,158
50,99.0,52,158
50,100.0,51,159
50,101.0,46,164
50,102.0,45,165
50,103.0,40,170
50,104.0,38,172
50,105.0,36,174
50,106.0,30,180
50,107.0,29,181
50,108.0,27,183
50,109.0,24,186
50,110.0,23,187
50,111.0,20,190
50,112.0,19,191
50,113.0,18,192
50,114.0,16,194
50,115.0,16,194
50,116.0,16,194
50,117.0,14,196
50,118.0,13,197
50,119.0,12,198
50,120.0,11,199
50,121.0,7,203
50,122.0,7,203
50,123.0,6,204
50,124.0,5,205
50,125.0,4,206
50,126.0,4,206
50,127.0,4,206
50,128.0,4,206
50,129.0,4,206
50,130.0,4,206
50,131.0,4,206
50,132.0,3,207
50,133.0,3,207
50,134.0,3,207
50,135.0,3,207
50,136.0,3,207
50,137.0,2,208
50,138.0,2,208
50,139.0,2,208
50,140.0,2,208
50,141.0,2,208
50,142.0,2,208
50,143.0,2,208
50,144.0,2,208
50,145.0,2,208
50,146.0,2,208
50,147.0,2,208
50,148.0,2,208
50,149.0,2,208
50,150.0,2,208
