"run","tick","human_count","zombie_count"
42,1.0,194,16
42,2.0,191,19
42,3.0,189,21
42,4.0,187,23
42,5.0,186,24
42,6.0,185,25
42,7.0,183,27
42,8.0,183,27
42,9.0,182,28
42,10.0,179,31
42,11.0,175,35
42,12.0,173,37
42,13.0,171,39
42,14.0,167,43
42,15.0,161,49
42,16.0,156,54
42,17.0,152,58
42,18.0,148,62
42,19.0,145,65
42,20.0,139,71
42,21.0,136,74
42,22.0,129,81
42,23.0,129,81
42,24.0,126,84
42,25.0,121,89
42,26.0,118,92
42,27.0,112,98
42,28.0,110,100
42,29.0,101,109
42,30.0,96,114
42,31.0,88,122
42,32.0,82,128
42,33.0,79,131
42,34.0,74,136
42,35.0,72,138
42,36.0,71,139
42,37.0,70,140
42,38.0,66,144
42,39.0,64,146
42,40.0,61,149
42,41.0,58,152
42,42.0,54,156
42,43.0,51,159
42,44.0,47,163
42,45.0,46,164
42,46.0,44,166
42,47.0,42,168
42,48.0,37,173
42,49.0,34,176
42,50.0,33,177
42,51.0,31,179
42,52.0,30,180
42,53.0,28,182
42,54.0,24,186
42,55.0,24,186
42,56.0,22,188
42,57.0,20,190
42,58.0,15,195
42,59.0,14,196
42,60.0,13,197
42,61.0,12,198
42,62.0,12,198
42,63.0,11,199
42,64.0,10,200
42,65.0,8,202
42,66.0,8,202
42,67.0,8,202
42,68.0,7,203
42,69.0,5,205
42,70.0,5,205
42,71.0,5,205
42,72.0,5,205
42,73.0,5,205
42,74.0,5,205
42,75.0,4,206
42,76.0,4,206
42,77.0,3,207
42,78.0,3,207
42,79.0,2,208
42,80.0,1,209
42,81.0,1,209
42,82.0,1,209
42,83.0,0,210
42,84.0,0,210
42,85.0,0,210
42,86.0,0,210
42,87.0,0,210
42,88.0,0,210
42,89.0,0,210
42,90.0,0,210
42,91.0,0,210
42,92.0,0,210
42,93.0,0,210
42,94.0,0,210
42,95.0,0,210
42,96.0,0,210
42,97.0,0,210
42,98.0,0,210
42,99.0,0,210
42,100.0,0,210
42,101.0,0,210
42,102.0,0,210
42,103.0,0,210
42,104.0,0,210
42,105.0,0,210
42,106.0,0,210
42,107.0,0,210
42,108.0,0,210
42,109.0,0,210
42,110.0,0,210
42,111.0,0,210
42,112.0,0,210
42,113.0,0,210
42,114.0,0,210
42,115.0,0,210
42,116.0,0,210
42,117.0,0,210
42,118.0,0,210
42,119.0,0,210
42,120.0,0,210
42,121.0,0,210
42,122.0,0,210
42,123.0,0,210
42,124.0,0,210
42,125.0,0,210
42,126.0,0,210
42,127.0,0,210
42,128.0,0,210
42,129.0,0,210
42,130.0,0,210
42,131.0,0,210
42,132.0,0,210
42,133.0,0,210
42,134.0,0,210
42,135.0,0,210
42,136.0,0,210
42,137.0,0,210
42,138.0,0,210
42,139.0,0,210
42,140.0,0,210
42,141.0,0,210
42,142.0,0,210
42,143.0,0,210
42,144.0,0,210
42,145.0,0,210
42,146.0,0,210
42,147.0,0,210
42,148.0,0,210
42,149.0,0,210
42,150.0,0,210
