"run","tick","human_count","zombie_count"
35,1.0,199,11
35,2.0,199,11
35,3.0,198,12
35,4.0,198,12
35,5.0,198,12
35,6.0,197,13
35,7.0,196,14
35,8.0,196,14
35,9.0,195,15
35,10.0,193,17
35,11.0,192,18
35,12.0,189,21
35,13.0,188,22
35,14.0,186,24
35,15.0,184,26
35,16.0,184,26
35,17.0,184,26
35,18.0,183,27
35,19.0,182,28
35,20.0,182,28
35,21.0,182,28
35,22.0,181,29
35,23.0,181,29
35,24.0,179,31
35,25.0,179,31
35,26.0,176,34
35,27.0,174,36
35,28.0,171,39
35,29.0,168,42
35,30.0,165,45
35,31.0,165,45
35,32.0,162,48
35,33.0,159,51
35,34.0,153,57
35,35.0,151,59
35,36.0,149,61
35,37.0,146,64
35,38.0,144,66
35,39.0,142,68
35,40.0,141,69
35,41.0,135,75
35,42.0,135,75
35,43.0,134,76
35,44.0,130,80
35,45.0,126,84
35,46.0,124,86
35,47.0,120,90
35,48.0,120,90
35,49.0,115,95
35,50.0,113,97
35,51.0,110,100
35,52.0,106,104
35,53.0,102,108
35,54.0,96,114
35,55.0,91,119
35,56.0,87,123
35,57.0,86,124
35,58.0,83,127
35,59.0,79,131
35,60.0,74,136
35,61.0,71,139
35,62.0,66,144
35,63.0,63,147
35,64.0,57,153
35,65.0,56,154
35,66.0,51,159
35,67.0,47,163
35,68.0,44,166
35,69.0,38,172
35,70.0,36,174
35,71.0,33,177
35,72.0,31,179
35,73.0,28,182
35,74.0,27,183
35,75.0,24,186
35,76.0,20,190
35,77.0,18,192
35,78.0,17,193
35,79.0,16,194
35,80.0,16,194
35,81.0,14,196
35,82.0,11,199
35,83.0,8,202
35,84.0,7,203
35,85.0,6,204
35,86.0,6,204
35,87.0,6,204
35,88.0,5,205
35,89.0,4,206
35,90.0,3,207
35,91.0,3,207
35,92.0,3,207
35,93.0,2,208
35,94.0,2,208
35,95.0,2,208
35,96.0,2,208
35,97.0,2,208
35,98.0,2,208
35,99.0,2,208
35,100.0,2,208
35,101.0,2,208
35,102.0,2,208
35,103.0,2,208
35,104.0,1,209
35,105.0,1,209
35,106.0,1,209
35,107.0,0,210
35,108.0,0,210
35,109.0,0,210
35,110.0,0,210
35,111.0,0,210
35,112.0,0,210
35,113.0,0,210
35,114.0,0,210
35,115.0,0,210
35,116.0,0,210
35,117.0,0,210
35,118.0,0,210
35,119.0,0,210
35,120.0,0,210
35,121.0,0,210
35,122.0,0,210
35,123.0,0,210
35,124.0,0,210
35,125.0,0,210
35,126.0,0,210
35,127.0,0,210
35,128.0,0,210
35,129.0,0,210
35,130.0,0,210
35,131.0,0,210
35,132.0,0,210
35,133.0,0,210
35,134.0,0,210
35,135.0,0,210
35,136.0,0,210
35,137.0,0,210
35,138.0,0,210
35,139.0,0,210
35,140.0,0,210
35,141.0,0,210
35,142.0,0,210
35,143.0,0,210
35,144.0,0,210
35,145.0,0,210
35,146.0,0,210
35,147.0,0,210
35,148.0,0,210
35,149.0,0,210
35,150.0,0,210
