"run","tick","human_count","zombie_count"
41,1.0,196,14
41,2.0,195,15
41,3.0,194,16
41,4.0,193,17
41,5.0,193,17
41,6.0,193,17
41,7.0,192,18
41,8.0,192,18
41,9.0,190,20
41,10.0,190,20
41,11.0,190,20
41,12.0,190,20
41,13.0,188,22
41,14.0,187,23
41,15.0,187,23
41,16.0,185,25
41,17.0,184,26
41,18.0,182,28
41,19.0,182,28
41,20.0,180,30
41,21.0,177,33
41,22.0,175,35
41,23.0,174,36
41,24.0,171,39
41,25.0,170,40
41,26.0,168,42
41,27.0,168,42
41,28.0,166,44
41,29.0,165,45
41,30.0,165,45
41,31.0,165,45
41,32.0,165,45
41,33.0,163,47
41,34.0,161,49
41,35.0,158,52
41,36.0,157,53
41,37.0,154,56
41,38.0,149,61
41,39.0,148,62
41,40.0,146,64
41,41.0,145,65
41,42.0,142,68
41,43.0,141,69
41,44.0,137,73
41,45.0,135,75
41,46.0,133,77
41,47.0,130,80
41,48.0,127,83
41,49.0,125,85
41,50.0,124,86
41,51.0,122,88
41,52.0,120,90
41,53.0,118,92
41,54.0,117,93
41,55.0,110,100
41,56.0,104,106
41,57.0,103,107
41,58.0,98,112
41,59.0,95,115
41,60.0,91,119
41,61.0,88,122
41,62.0,86,124
41,63.0,83,127
41,64.0,82,128
41,65.0,81,129
41,66.0,77,133
41,67.0,74,136
41,68.0,74,136
41,69.0,73,137
41,70.0,71,139
41,71.0,66,144
41,72.0,62,148
41,73.0,62,148
41,74.0,58,152
41,75.0,53,157
41,76.0,51,159
41,77.0,50,160
41,78.0,50,160
41,79.0,48,162
41,80.0,47,163
41,81.0,43,167
41,82.0,42,168
41,83.0,40,170
41,84.0,39,171
41,85.0,39,171
41,86.0,37,173
41,87.0,37,173
41,88.0,37,173
41,89.0,36,174
41,90.0,33,177
41,91.0,31,179
41,92.0,27,183
41,93.0,23,187
41,94.0,20,190
41,95.0,20,190
41,96.0,19,191
41,97.0,18,192
41,98.0,15,195
41,99.0,14,196
41,100.0,14,196
41,101.0,14,196
41,102.0,14,196
41,103.0,12,198
41,104.0,12,198
41,105.0,10,200
41,106.0,8,202
41,107.0,8,202
41,108.0,7,203
41,109.0,6,204
41,110.0,5,205
41,111.0,5,205
41,112.0,5,205
41,113.0,5,205
41,114.0,5,205
41,115.0,5,205
41,116.0,5,205
41,117.0,3,207
41,118.0,3,207
41,119.0,3,207
41,120.0,3,207
41,121.0,3,207
41,122.0,3,207
41,123.0,3,207
41,124.0,3,207
41,125.0,3,207
41,126.0,2,208
41,127.0,2,208
41,128.0,2,208
41,129.0,2,208
41,130.0,2,208
41,131.0,2,208
41,132.0,2,208
41,133.0,2,208
41,134.0,2,208
41,135.0,1,209
41,136.0,1,209
41,137.0,1,209
41,138.0,1,209
41,139.0,1,209
41,140.0,1,209
41,141.0,1,209
41,142.0,1,209
41,143.0,1,209
41,144.0,1,209
41,145.0,1,209
41,146.0,1,209
41,147.0,1,209
41,148.0,1,209
41,149.0,1,209
41,150.0,1,209
